,S BET(m2/g),Vtotal (cm3/g),Vmicro (cm3/g),T(oC),P(bar),CO2uptake (mmol/g)
692,1477.0,4.736000000000001,0.013999999999999999,25.0,0.5,0.8
693,1477.0,4.736000000000001,0.013999999999999999,25.0,0.4,0.7
694,1477.0,4.736000000000001,0.013999999999999999,25.0,0.3,0.555
695,1477.0,4.736000000000001,0.013999999999999999,25.0,0.2,0.4
696,1477.0,4.736000000000001,0.013999999999999999,25.0,0.1,0.2
697,2560.0,4.059,0.251,25.0,1.0,2.5
698,2560.0,4.059,0.251,25.0,0.9,2.25
699,2560.0,4.059,0.251,25.0,0.8,2.1
700,2560.0,4.059,0.251,25.0,0.7,1.8
701,2560.0,4.059,0.251,25.0,0.6,1.6
702,2560.0,4.059,0.251,25.0,0.5,1.4
703,2560.0,4.059,0.251,25.0,0.4,1.15
704,2560.0,4.059,0.251,25.0,0.3,0.9
705,2560.0,4.059,0.251,25.0,0.2,0.6
706,2560.0,4.059,0.251,25.0,0.1,0.35
707,1948.0,0.9309999999999999,0.209,25.0,1.0,2.6
708,1948.0,0.9309999999999999,0.209,25.0,0.9,2.45
709,1948.0,0.9309999999999999,0.209,25.0,0.8,2.2
710,1948.0,0.9309999999999999,0.209,25.0,0.7,2.0
711,1948.0,0.9309999999999999,0.209,25.0,0.6,1.75
712,1948.0,0.9309999999999999,0.209,25.0,0.5,1.6
713,1948.0,0.9309999999999999,0.209,25.0,0.4,1.3
714,1948.0,0.9309999999999999,0.209,25.0,0.3,1.1
715,1948.0,0.9309999999999999,0.209,25.0,0.2,0.75
716,1948.0,0.9309999999999999,0.209,25.0,0.1,0.5
717,1477.0,4.736000000000001,0.013999999999999999,25.0,1.0,1.6
718,1477.0,4.736000000000001,0.013999999999999999,25.0,0.9,1.4
719,1477.0,4.736000000000001,0.013999999999999999,25.0,0.8,1.3
720,1477.0,4.736000000000001,0.013999999999999999,25.0,0.7,1.15
721,1477.0,4.736000000000001,0.013999999999999999,25.0,0.6,0.95
722,1477.0,4.736000000000001,0.013999999999999999,25.0,0.5,0.8
723,1477.0,4.736000000000001,0.013999999999999999,25.0,0.4,0.7
724,1477.0,4.736000000000001,0.013999999999999999,25.0,0.3,0.555
725,1477.0,4.736000000000001,0.013999999999999999,25.0,0.2,0.4
726,1477.0,4.736000000000001,0.013999999999999999,25.0,0.1,0.2
727,1260.0,2.271,0.139,25.0,20.0,10.0
728,1260.0,2.271,0.139,25.0,10.0,7.0
729,1260.0,2.271,0.139,25.0,6.0,5.0
730,1260.0,2.271,0.139,25.0,4.0,4.2
731,1260.0,2.271,0.139,25.0,2.0,2.2
732,1260.0,2.271,0.139,50.0,29.0,9.0
733,1260.0,2.271,0.139,50.0,15.0,7.0
734,1260.0,2.271,0.139,50.0,10.0,5.2
735,1260.0,2.271,0.139,50.0,6.0,3.8
736,1260.0,2.271,0.139,50.0,4.0,2.8
737,1260.0,2.271,0.139,50.0,2.0,1.6
738,1828.0,0.455,0.495,25.0,20.0,14.2
739,1828.0,0.455,0.495,25.0,10.0,10.5
740,1828.0,0.455,0.495,25.0,6.0,8.5
741,1828.0,0.455,0.495,25.0,4.0,6.5
742,1828.0,0.455,0.495,25.0,2.0,4.0
743,1900.0,0.45299999999999996,0.547,25.0,20.0,15.5
744,1900.0,0.45299999999999996,0.547,25.0,10.0,11.2
745,1900.0,0.45299999999999996,0.547,25.0,6.0,9.0
746,1900.0,0.45299999999999996,0.547,25.0,4.0,6.6
747,1900.0,0.45299999999999996,0.547,25.0,2.0,4.05
748,1900.0,0.45299999999999996,0.547,50.0,20.0,11.0
749,1900.0,0.45299999999999996,0.547,50.0,10.0,8.0
750,1900.0,0.45299999999999996,0.547,50.0,6.0,6.75
751,1900.0,0.45299999999999996,0.547,50.0,4.0,5.5
752,1900.0,0.45299999999999996,0.547,50.0,2.0,3.75
753,2517.0,4.919,0.611,50.0,20.0,14.7
754,2517.0,4.919,0.611,50.0,12.0,10.5
755,2517.0,4.919,0.611,50.0,10.0,8.9
756,2517.0,4.919,0.611,50.0,6.0,6.0
757,2517.0,4.919,0.611,50.0,4.0,5.0
